Unnamed: 17,Unnamed: 21,Unnamed: 27,Unnamed: 32,Unnamed: 40,Unnamed: 46,Unnamed: 54,Unnamed: 59,Unnamed: 66,Unnamed: 69,Unnamed: 74,Unnamed: 78
,1,,1,,,,1.0,CCPM,1,,
AHP による要求の順位付け手法？,MVCアーキテクチャ,1,API,All-Pairs法,CI,GitとGitHub,リエンジニアリング,CK Metrics?,SCRUM開発法,1,1
ERモデル,アーキテクチャ,Design Pattern,GUI,EclipseとJUnitの導入,GitとGitHub,Makefileの作成法,リバースエンジニアリング,CMM,Unified Process,SCRUM開発法,CI
ER図,アーキテクチャパターン,GoFパターン,GUIコンポーネント,インスペクション,システム構築,make,リファクタリング,CMMI,Webアプリケーション開発?,UMLによるモデリング,ISO認証
IEEE830 に基づく要求文書化？,アーキテクチャ設計,generic class,GUIプログラミング,ウォークスルー,ソフトウェアの管理,システム構築,レガシーシステム,COCOMO?,XP,UMLモデリング,インスペクション
UML,ソフトウェアアーキテクチャ,interface,GUI開発環境,カバレッジ,ソフトウェアテストの自動化,ソフトウェアの再利用,継続的インテグレーション,EVM,eXtreme Programming,XP,オブジェクト指向テスト
UMLによるモデリング？,ソフトウェアアーキテクチャ設計,polymorphism,Webフロント技術,カバレッジ(網羅率),ソフトウェア構成管理,ソフトウェアの管理,,Halstead's Complexity Metrics?,アジャイル,eXtreme Programming,カバレッジ
UMLのクラス？,ソフトウェアパターン？,アクセス制限,アルゴリズムとデータ構造,コードカバレッジメトリクス,ソフトウェア開発管理,ソフトウェア再利用,,McCabe's Cyclomatic Number?,アジャイルソフトウェア開発,アジャイル,カバレッジ(網羅率)
UML修法,並列分散アーキテクチャ,アスペクト指向,イベント処理,システムテスト,ソースコード管理,ソフトウェア構成管理,,McCall's Quality Factor?,アジャイルソフトウトウェア開発,アジャイルソフトウェア開発,システムの品質
VDM,情報アーキテクチャの設計,イベント駆動プログラミング,オブジェクト指向開発環境,システム検証,テスト自動化,ソフトウェア構築,,PERT,アジャイル開発,アジャイルソフトウトウェア開発,システムテスト
アクティビティ,開発システムアーキテクチャ設計,イベント駆動型プログラミング,クロス開発,スモークテスト,デプロイ,ソフトウェア開発管理,,PMBOK,アジャイル開発とScrum,アジャイル開発,スモークテスト
アクティビティ図,,インスタンス,コーディング,セキュリティテスト,デプロイメント,デプロイ,,PSP,アジャイル開発論,アジャイル開発とScrum,セキュリティテスト
オブジ ェクト図,,ウォーターフォール,コーディング作法,ソフトウェアのテスト,ドキュメンテーション,バージョンコントロール,,SW-CMM,ウォータフォールモデ ル,アジャイル開発論,ソフトウェアのテスト
オブジェクト図,,オブジェクト指向,コーディング標準,ソフトウェアのテスト・検証手法,バグ管理,バージョン管理,,TSP,ウォータフォールモデル,オブジェクト指向モデリング,ソフトウェアのテスト・検証手法
オブジェクト指向分析とその仕様化,,オブジェクト指向プログラミング,コーディング規約,ソフトウェアのテスト技法,バグ追跡システム,バージョン管理システム,,WBS,ウォータフォール型開発,オブジェクト指向分析・設計技法,ソフトウェアのテスト技法
クラスモデリング,,オブジェクト指向モデリング,システム構築,ソフトウェアの検証,バージョンコントロール,ビルド,,アローダイアグラム,ウォーターフォール,オブジェクト指向技法,ソフトウェアの保守
クラス図,,オブジェクト指向分析,スレッド,ソフトウェアテスト,バージョン管理,ビルドツール,,ウォータフォールモデ ル,ウォーターフォールモデル,オブジェクト指向設計?,ソフトウェアの保守と品質
コミュニケーション図,,オブジェクト指向分析・設計技法,スレッドプール,ソフトウェアテストと品質保証,バージョン管理システム,ライブラリ化,,ウォータフォールモデル,スクラム,オブジェクト指向設計法,ソフトウェアの保守・進化・再利用
コラボレーション図,,オブジェクト指向技法,ソフトウェアの再利用,ソフトウェアテストプロセス,ビルド,再利用,,ウォーターフォールモデル,スパイラルモデル,カーリーハワード対応,ソフトウェアの品質
コントロールフロー 図,,オブジェクト指向技術,ソフトウェアの規約・作法,ソフトウェアテスト・検査,プロジェクト管理,変更・構成・バージョン管理,,ガントチャート,ソフトウェアのライフサイクル,スクラム,ソフトウェアの性質
ゴール指向分析法,,オブジェクト指向指向,ソフトウェア実装,ソフトウェアテスト体系,リスク管理,変更管理,,コスト管理,ソフトウェアの開発工程,スパイラルモデル,ソフトウェアの検証
シナリオ分析法などの要求獲得法,,オブジェクト指向法,ソフトウェア開発技法,ソフトウェアテスト技法,仮想化,構成管理,,コードカバレッジメトリクス,ソフトウェアの開発手法,スパイラルモデル?,ソフトウェアの評価
シーケンス図,,オブジェクト指向設計,ソフトウェア開発支援ツール,ソフトウェア検証,変更・構成・バージョン管理,構成管理ツール,,ソフトウェアと法律・契約,ソフトウェアの開発方法,ソフトウェアの構造化分析?,ソフトウェアの進化と保守
ステートマシン図,,オブジェクト指向設計原則,ソフトウェア開発環境,ソフトウェア統合テスト,構成管理,,,ソフトウェアの生産性,ソフトウェアプロセス,ソフトウェアの計算モデル,ソフトウェアの開発・運用・保守
ソフトウェアの要求分析,,オブジェクト指向設計法,ツール,ソルトウェアテスト技術,構成管理ツール,,,ソフトウェアの管理?,ソフトウェアライフサイクル,ソフトウェアモデリング,ソフトウェアテスト
ソフトウェアモデリング,,オブジェクト指向設計開発,データ構造,テス トケース設計,運用,,,ソフトウェアの見積り,ソフトウェア・ライフサイクル,ソフトウェアモデル,ソフトウェアテストと品質保証
ソフトウェア要求仕様書,,オブジェクト指向開発,ヒューマンインターフェース設計,テスティング,運用保守・管理,,,ソフトウェアメトリクス,ソフトウェア製品と開発プロセス,ソフトウェア検証,ソフトウェアテストの自動化
ソフトウェア要求分析,,オブジェクト指向開発手法,プログラミング,テスト,,,,ソフトウェアメトリクス;ソフトウェア見積もり,ソフトウェア開発のプロセス,ソフトウェア開発モデル,ソフトウェアテストプロセス
データフローモデル,,オブジェクト開発手法,プログラミング技法,テスト⼯程,,,,ソフトウェアメトリックス,ソフトウェア開発プロセス,ソフトウェア開発法,ソフトウェアテスト・検査
データフロー図,,クラス,プログラミング環境,テストと修正,,,,ソフトウェア見積もり,ソフトウェア開発プロセス概論,テスト駆動開発,ソフトウェアテスト体系
ドキュメント作成能力,,クラス 構造,プログラム製造,テストと検証,,,,ソフトウェア規模の見積もり方法,ソフトウェア開発モデル,プログラムの仕様・表明,ソフトウェアテスト技法
ドメインオブジェクト,,クラス設計,マルチスレッド,テストの実施,,,,ソフトウェア開発支援ツール,ソフトウェア開発工程,プログラムの停止性,ソフトウェア事故
ドメイン分析,,クラス間相互作⽤,マルチスレッドプログラミング,テストの手順,,,,ソフトウェア開発法,ソフトウェア開発手法,プログラムの正当性と検証法,ソフトウェア保守
ビジネスモデリング,,クラス階層,モジュール化,テストの目的や技法,,,,ソフトウェア開発環境,ソフトウェア開発法,プロセスモデル,ソフトウェア再利用
フローチャート,,コンポーネントレベル設計,ユーザインターフェース,テストの網羅性,,,,ソフトウェア開発管理,ソフトウェア開発過程,ホーア論理,ソフトウェア分析
モデリング,,コンポーネント開発技法,ライブラリ化,テストケース,,,,ソフトウェア開発計画,テスト工程,モジュール,ソフトウェア品質
モデリング技法,,システム設計,ローコード・ノーコード開発,テストケースの設計,,,,ソースコードメトリクス,バックログリファインメント,モデリング,ソフトウェア品質改善
モデル化技法,,セキュリティ設計,ローコード課題解決,テストケース設計,,,,チーム管理,フィーチャーモデリング,モデル化,ソフトウェア品質特性と設計メトリクス
モデル間の整合性,,ソフトウェアの検証,例外処理,テストツール,,,,ツールと環境,プロジェクト管理,モデル化技法,ソフトウェア品質管理・保証
ユ ースケース図,,ソフトウェアの構造化,再利用,テストプロセス,,,,ツール統合機構,プロセス管理,モデル検査,ソフトウェア特性
ユースケース,,ソフトウェアの設計,分散プログラミング,テストプロセス改善モデルTPI,,,,テストツール,ライフサイクル,モデル駆動工学,ソフトウェア統合テスト
ユースケースモデリング,,ソフトウェア設計,分析・設計ツール,テスト・検証,,,,バグメトリクス,レトロスペクティブ,モデル駆動開発,ソフトウェア能力成熟度モデル(CMM)
ユースケース図,,ソフトウェア設計序論,基本機能の実装,テスト仕様,,,,ビルドツール,工程モデル,停⽌性,ソフトウェア進化
ユースケース記述,,ソフトウェア詳細設計,実装,テスト充分性評価,,,,ファンクションポイント,工程成果物,圏とMonad,ソフトウェア開発法
仕様作成,,ソフトウェア開発の設計,差分プログラミング,テスト完了基準,,,,ファンクションポイント法?,工程管理?,型とその整合性,ソフトウエアの保守と再利用
仕様変更管理,,ソフトウェア開発モデル,排他制御,テスト工程,,,,プログラミング環境,継続的インテグレーション,型式手法（形式手法）,ソルトウェアテスト技術
仕様策定,,ダーティプロトタイプ,構成管理ツール,テスト手法の理解,,,,プロジェクトマネジメント,設計／実装工程,形式仕様,ソースコード管理
協調図,,デザインパターン,機能構造・データ構造,テスト技法,,,,プロジェクト実行管理技法?,開発⼯程,形式手法,テスティング
実体関連モデル,,デザインパターン化設計,統合環境,テスト技術,,,,プロジェクト管理,開発サイクル,意味論,テスト
形式仕様,,デザインレビュー,統合開発環境,テスト条件の絞り込み,,,,プロジェクト管理ツール,開発プロセス,操作的意味論,テストと修正
振る舞い,,デザイン・パターン,部品化・再利用,テスト管理,,,,プロジェクト計画,開発工程,構文論,テストと検証
業務分析・モデリング,,デザイン・レビュー,開発技法,テスト自動化,,,,プロダクト管理,,構造化,テストの実施
構造化チャート,,データインフォームドデザイン,開発環境,テスト計画,,,,メトリクス,,構造化分析,テストの手順
機能仕様,,データドリブンデザイン,開発環境・開発ツール,テスト計画・設計,,,,リスク優先度,,構造化分析?,テストの網羅性
機能分割,,トップダウン・ボトムアップ手法,開発環境整備,テスト設計,,,,リスク分析,,構造化分析・オブジェクト指向分析,テストケース
機能配置,,ドメインオブジェクト,,テスト運用,,,,リスク分析モデル・技法,,構造化分析手法?,テストケースの設計
状態図,,ドメインモデル,,テスト駆動型開発,,,,リスク判定行列,,構造化分析法,テストケース設計
状態遷移,,パッケージ,,テスト駆動開発,,,,リスク管理,,構造化手法?,テストツール
状態遷移モデル,,プログラムの正当性と検証法？,,デシジョンテーブルテスト,,,,分析・設計ツール,,構造化技法?,テストプロセス
状態遷移図,,プロセスの評価と改善,,トップダウンテスト,,,,基本計画,,構造化設計?,テストレポート
系列図,,プロトタイピング,,パフォーマンステスト,,,,工数見積もり,,構造化開発手法?,テスト仕様
要件定義,,プロトタイプ,,ブラックボックステスト,,,,工程モデル,,状態モデル,テスト充分性評価
要求の獲得と記述,,メトリクス,,プロファイル,,,,工程管理?,,証明支援システム,テスト完了基準
要求の理解,,モジュール,,ホワイトボックステスト,,,,業務打合せ,,論理的検証法,テスト工程
要求や設計のレビュー,,モジュール分割,,ホワイトボックスファジング,,,,構成管理ツール,,部分正当性,テスト技法
要求モデル,,モジュール化,,ボトムアップテスト,,,,機能規模計測,,開発モデル,テスト技術
要求仕様,,モジュール設計,,メモリ消費,,,,結合度と凝集度,,,テスト条件の絞り込み
要求仕様書,,モデル駆動開発,,モジュールテスト,,,,複雑度のメトリクス,,,テスト自動化
要求分析,,ユーザインタフェース設計,,ユーザビリティテスト,,,,見積もり,,,テスト計画
要求分析モデル？,,ユーザインターフェース設計,,ユーザー検証テスト,,,,規模見積もり,,,テスト計画・設計
要求定義,,ユーザーセンタードデザイン,,動的テスト,,,,開発の進捗管理手法,,,テスト設計
要求工学プロセス,,上流工程下流工程,,単体テスト,,,,開発コスト,,,テスト設計書
要求文書化と品質,,内部設計,,原因-結果グラフ,,,,開発スケジュール作成,,,テスト運用
要求獲得,,再利用可能なソフトウェアのデザイン,,同値クラステスト,,,,開発工数計算手法,,,デザインレビュ?
設計クラス図,,分割統合,,回帰テスト,,,,開発支援ツールの理解,,,デシジョンテーブルテスト
設計図,,制御フロー,,回帰テスト(リグレッションテスト),,,,開発日程計画手法,,,デバッガ?
配置図,,品質保証,,境界値テスト,,,,開発環境,,,デバッガツール
静的モデリング,,基本設計,,実装とテスト,,,,開発環境・プロジェクト管理---プログラミング環境,,,デバック
ＥＲ図,,外部設計,,探索的テスト,,,,開発環境・開発ツール,,,デバッグ
,,検証,,検証,,,,開発管理,,,デバッグツールの使用法等
,,検証と妥当性確認,,検証技法,,,,開発規模の⾒積もり,,,デバッグ技法
,,検証？,,構成テスト,,,,開発計画,,,デバッグ方法
,,概要設計,,構造テスト,,,,開発計画書,,,トップダウンテスト
,,構造体・オブジェクト指向,,機能テスト,,,,,,,バグ
,,構造化,,状態遷移テスト,,,,,,,バグ?
,,構造化プログラミング,,状態遷移図,,,,,,,バグ管理
,,構造化モデル,,直交表,,,,,,,バグ追跡システム
,,構造化・抽象化,,組合せテスト,,,,,,,パフォーマンステスト
,,構造化分析,,結合テスト,,,,,,,ヒューマンエラー
,,構造化分析の基礎,,統合テスト,,,,,,,ビルドツール
,,構造化分析手法,,継続的インテグレーション,,,,,,,フォーマッタ
,,構造化分析技法,,総合テスト・受入テスト,,,,,,,ブラックボックステスト
,,構造化分析法,,負荷テスト,,,,,,,プロセス品質
,,構造化定理,,運用テスト,,,,,,,プロダクトの評価
,,構造化手法,,,,,,,,,プロダクト品質
,,構造化技法,,,,,,,,,プロファイル
,,構造化設計,,,,,,,,,ホワイトボックステスト
,,構造化設計オブジェクト指向分析,,,,,,,,,ボトムアップテスト
,,構造化設計法,,,,,,,,,メモリ消費
,,構造化開発手法,,,,,,,,,モジュールテスト
,,機能分割法,,,,,,,,,モジュール強度
,,機能独立,,,,,,,,,モジュール性
,,機能独立性,,,,,,,,,モジュール結合度
,,段階的詳細化,,,,,,,,,ユーザビリティテスト
,,画面設計,,,,,,,,,ユーザー検証テスト
,,結合度と凝集度,,,,,,,,,レビュー
,,継承,,,,,,,,,レビュー技法
,,複合設計,,,,,,,,,レビュー技術
,,要求や設計のレビュー,,,,,,,,,不良分析
,,設計,,,,,,,,,保守
,,設計ツール,,,,,,,,,保守と再利用
,,設計・再利用,,,,,,,,,保守と発展
,,設計作業,,,,,,,,,保守と進化のプロセス
,,設計品質の評価,,,,,,,,,保守と進化・ソフトウェア品質---保守の特性
,,設計手法,,,,,,,,,保守作業
,,設計技法,,,,,,,,,保守性
,,設計／実装工程,,,,,,,,,信頼度成長曲線
,,詳細設計,,,,,,,,,再利用
,,開発システム機能設計,,,,,,,,,分析設計ツール
,,関数クロージャ,,,,,,,,,動的テスト
,,,,,,,,,,,単体テスト
,,,,,,,,,,,原因-結果グラフ
,,,,,,,,,,,可読性
,,,,,,,,,,,同値クラステスト
,,,,,,,,,,,品質
,,,,,,,,,,,品質向上技術
,,,,,,,,,,,品質技術
,,,,,,,,,,,品質検査
,,,,,,,,,,,品質特性
,,,,,,,,,,,品質管理
,,,,,,,,,,,品質評価技法
,,,,,,,,,,,品質評価方法
,,,,,,,,,,,回帰テスト
,,,,,,,,,,,回帰テスト(リグレッションテスト)
,,,,,,,,,,,境界値テスト
,,,,,,,,,,,妥当性確認
,,,,,,,,,,,工程管理
,,,,,,,,,,,抽象性
,,,,,,,,,,,探索的テスト
,,,,,,,,,,,検証
,,,,,,,,,,,検証技法
,,,,,,,,,,,構成テスト
,,,,,,,,,,,構造テスト
,,,,,,,,,,,機能テスト
,,,,,,,,,,,欠陥
,,,,,,,,,,,状態遷移テスト
,,,,,,,,,,,組合せテスト
,,,,,,,,,,,結合テスト
,,,,,,,,,,,統合テスト
,,,,,,,,,,,総合テスト・受入テスト
,,,,,,,,,,,負荷テスト
,,,,,,,,,,,運用・総合評価
,,,,,,,,,,,運用保守・管理
,,,,,,,,,,,静的コード解析器
,,,,,,,,,,,静的解析技術
