シラバスID,番号,大学名,学科名,科目,,対象,状態,備考,Dropbox link,1. Software Requirements,2. Software Architecture,3. Software Design,4. Software Construction,5. Software Testing,6. Software Engineering Operations,8. Software Configuration Management,7. Software Maintenance,9. Software Engineering Management,10. Software Engineering Process,11. Software Engineering Models and Methods,12. Software Quality,近藤気になったワード
49,70,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Laboratory in Software Engineering,,,,,https://ocw.mit.edu/courses/6-170-laboratory-in-software-engineering-fall-2005/,,,,,,,,,,,,,
50,89,University of Adelaide,Computer Science,COMPSCI 732 - 2024 Semester One - Course Outline,https://www.adelaide.edu.au/course-outlines/,,,,https://www.dropbox.com/scl/fi/p5lj29g1s0fe2b57j6aoz/COMPSCI-732-2024-Semester-One-Course-Outline.pdf?rlkey=ptilpwn3085fiinsvoay2fxtq&st=8kma9bs2&dl=0,,Software architecture,Software design,Software Development tools,,Operation,,,management tool,state-of-the-art software development,,high-quality software,
51,89,University of Adelaide,Computer Science,COMPSCI 701 - 2024 Semester Two - Course Outline,,,,,https://www.dropbox.com/scl/fi/nrb5iguyi0gh4tkql00pr/COMPSCI-701-2024-Semester-Two-Course-Outline.pdf?rlkey=2w3l4vt088rzswnc70vs6fm0q&st=22ni0th3&dl=0,,,,,"Test-driven development, testablity",,,maintainable software,lifetime cost,test-driven development,,software quality,
52,89,University of Adelaide,Computer Science,COMPSCI 331 - 2024 Semester One - Course Outline,,,,,https://www.dropbox.com/scl/fi/mvygrdos5c8enwplya4u6/COMPSCI-331-2024-Semester-One-Course-Outline.pdf?rlkey=sp75x07myd40jx0x2057k8pxp&st=do4cmmyw&dl=0,,,,,,deployment,System building,maitenance,management,develop large-scale software systems,,quality attributes,
53,89,University of Adelaide,Computer Science,COMPSCI 235 - 2024 Semester Two - Course Outline,,,,,https://www.dropbox.com/scl/fi/vai0ey4kkrcs3voduz8wo/COMPSCI-235-2024-Semester-Two-Course-Outline.pdf?rlkey=s38x7aod8h38g8u2kph1zxb99&st=tzk508as&dl=0,,,design pattern,,"software testing, code review",,Build tools,,,"processes, agile methodologies","agile methodologies, data modeling",quality assurance techniques,
54,89,University of Adelaide,Computer Science,COMPSCI 230 - 2024 Semester Two - Course Outline,,,,,https://www.dropbox.com/scl/fi/w8vrmf3fzi8r6ua8sfvxq/COMPSCI-230-2024-Semester-Two-Course-Outline.pdf?rlkey=5y4mlvbaz0n0mg8mpojzq2g85&st=hlkvdm5h&dl=0,UML,,"object-oriented programming, design",,,,,,,develop software applications,Modelling with UML,quality,
55,89,University of Adelaide,Computer Science,COMPSCI 230 - 2024 Semester One - Course Outline,,分析対象外,,被り,https://www.dropbox.com/scl/fi/lxibm2v3vziqbrd10j15l/COMPSCI-230-2024-Semester-One-Course-Outline.pdf?rlkey=c0yx0r4lytf3dbl2yb9r3p64u&st=qpwsgw1l&dl=0,,,,,,,,,,,,,
56,89,University of Adelaide,Computer Science,COMPSCI 130 - 2024 Summer School - Course Outline,,,,,https://www.dropbox.com/scl/fi/v21tpjzb4ullnykt409eb/COMPSCI-130-2024-Summer-School-Course-Outline.pdf?rlkey=bhbpvkzfcrflm2tpzpaidwkci&st=dao6bq9e&dl=0,,,,programming code,"testing, reviewing",,,,,"process, software development",,"testing, debugging",
57,89,University of Adelaide,Computer Science,COMPSCI 130 - 2024 Semester Two - Course Outline,,分析対象外,,被り,https://www.dropbox.com/scl/fi/1nkjlc9ae0ldx79pbal8t/COMPSCI-130-2024-Semester-Two-Course-Outline.pdf?rlkey=u9xl4b29ssdmgde5rbfawjf7x&st=x3sgyqkl&dl=0,,,,,,,,,,,,,
58,89,University of Adelaide,Computer Science,COMPSCI 130 - 2024 Semester One - Course Outline,,分析対象外,,被り,https://www.dropbox.com/scl/fi/yz3kgylupoff7zjwvrr9d/COMPSCI-130-2024-Semester-One-Course-Outline.pdf?rlkey=gcqo48r2764xehso8r6skjlxn&st=wi9icx2j&dl=0,,,,,,,,,,,,,
59,96-1,University of Auckland,Computer Science,COMPSCI 732 - 2024 Semester One - Course Outline,https://courseoutline.auckland.ac.nz/dco,分析対象外,,被り,https://www.dropbox.com/scl/fi/p5lj29g1s0fe2b57j6aoz/COMPSCI-732-2024-Semester-One-Course-Outline.pdf?rlkey=ptilpwn3085fiinsvoay2fxtq&st=e4ofw31i&dl=0,,,,,,,,,,,,,
60,96-1,University of Auckland,Computer Science,COMPSCI 701 - 2024 Semester Two - Course Outline,,分析対象外,,被り,https://www.dropbox.com/scl/fi/nrb5iguyi0gh4tkql00pr/COMPSCI-701-2024-Semester-Two-Course-Outline.pdf?rlkey=2w3l4vt088rzswnc70vs6fm0q&st=1lwzxa1r&dl=0,,,,,,,,,,,,,
61,96-1,University of Auckland,Computer Science,COMPSCI 331 - 2024 Semester One - Course Outline,,分析対象外,,被り,https://www.dropbox.com/scl/fi/mvygrdos5c8enwplya4u6/COMPSCI-331-2024-Semester-One-Course-Outline.pdf?rlkey=sp75x07myd40jx0x2057k8pxp&st=nvz87215&dl=0,,,,,,,,,,,,,
62,96-1,University of Auckland,Computer Science,COMPSCI 235 - 2024 Semester Two - Course Outline,,分析対象外,,被り,https://www.dropbox.com/scl/fi/vai0ey4kkrcs3voduz8wo/COMPSCI-235-2024-Semester-Two-Course-Outline.pdf?rlkey=s38x7aod8h38g8u2kph1zxb99&st=0ueysbcf&dl=00,,,,,,,,,,,,,
63,96-1,University of Auckland,Computer Science,COMPSCI 230 - 2024 Semester Two - Course Outline,,分析対象外,,被り,https://www.dropbox.com/scl/fi/w8vrmf3fzi8r6ua8sfvxq/COMPSCI-230-2024-Semester-Two-Course-Outline.pdf?rlkey=5y4mlvbaz0n0mg8mpojzq2g85&st=y7ihitpy&dl=0,,,,,,,,,,,,,
64,96-1,University of Auckland,Computer Science,COMPSCI 230 - 2024 Semester One - Course Outline,,分析対象外,,被り,https://www.dropbox.com/scl/fi/lxibm2v3vziqbrd10j15l/COMPSCI-230-2024-Semester-One-Course-Outline.pdf?rlkey=c0yx0r4lytf3dbl2yb9r3p64u&st=ht39s18s&dl=0,,,,,,,,,,,,,
65,96-1,University of Auckland,Computer Science,COMPSCI 130 - 2024 Summer School - Course Outline,,分析対象外,,被り,https://www.dropbox.com/scl/fi/v21tpjzb4ullnykt409eb/COMPSCI-130-2024-Summer-School-Course-Outline.pdf?rlkey=bhbpvkzfcrflm2tpzpaidwkci&st=ilvxv9rt&dl=0,,,,,,,,,,,,,
66,96-1,University of Auckland,Computer Science,COMPSCI 130 - 2024 Semester Two - Course Outline,,分析対象外,,被り,https://www.dropbox.com/scl/fi/1nkjlc9ae0ldx79pbal8t/COMPSCI-130-2024-Semester-Two-Course-Outline.pdf?rlkey=u9xl4b29ssdmgde5rbfawjf7x&st=9pjahzqf&dl=0,,,,,,,,,,,,,
67,96-1,University of Auckland,Computer Science,COMPSCI 130 - 2024 Semester One - Course Outline,,分析対象外,,被り,https://www.dropbox.com/scl/fi/yz3kgylupoff7zjwvrr9d/COMPSCI-130-2024-Semester-One-Course-Outline.pdf?rlkey=gcqo48r2764xehso8r6skjlxn&st=o2mu162c&dl=0,,,,,,,,,,,,,
68,96-2,University of Birmingham,"Elec, Elec & Sys Engineering",LI Multidisciplinary Systems and Software Engineering,,,,,https://www.dropbox.com/scl/fi/cdgbdv5dnpjlibv8djgci/LI-Multidisciplinary-Systems-and-Software-Engineering.pdf?rlkey=3cb17fnctrnvd1dgwt1phy8t5&st=hgw5e9sf&dl=0,Identify requirements,create software architecture,,tools,Software Verification and Valiation,,Manage System Change,software engineering management,manage,software process,formal coding methods,"system risks, software quality attributes",
69,96-2,University of Birmingham,Mathematics,LI Statistical Software,,分析対象外,,統計の授業,https://www.dropbox.com/scl/fi/78omutgt2z7kb90xz5r64/LI-Statistical-Software.pdf?rlkey=ivrihzriuo0z29xoxxygfxxy3&st=bkznimnf&dl=0,,,,,,,,,,,,,
70,96-2,University of Birmingham,Computer Science,LI Software Engineering and Professional Practice,,,,,https://www.dropbox.com/scl/fi/xharte3wqvjx5y5gh1txj/LI-Software-Engineering-and-Professional-Practice.pdf?rlkey=rzv4sjfzs03xmgv8ai5hkmwpj&st=a6m06tft&dl=0,requirements,architecting,designing,,testing,,,,project management,,modeling,"software quality assurance, testing",
71,96-2,University of Birmingham,Computer Science,LI Software Engineering and Professional Practice,,分析対象外,,被り,https://www.dropbox.com/scl/fi/e3x2vb2moh9t6bquw6tqi/LI-Software-Engineering-and-Professional-Practice-1.pdf?rlkey=0x08iarlnbkjwilnq4bj50rjw&st=5s40grm3&dl=0,,,,,,,,,,,,,
72,96-2,University of Birmingham,Computer Science,LI Software Workshop 1,,,,,https://www.dropbox.com/scl/fi/2lfm9ae7cy5w3s9uz6amw/LI-Software-Workshop-1.pdf?rlkey=nl7c4ny4dmbkwy4kv65hzj2gp&st=05sdw96o&dl=0,,,"object oriented, design",,,,,,,,,program testing,
73,96-2,University of Birmingham,Computer Science,LI Software Workshop 2,,,,,https://www.dropbox.com/scl/fi/db1c5vvqqfaj6ezvbx8g0/LI-Software-Workshop-2.pdf?rlkey=16zgmcy08dqjhzc1v0mhem0sp&st=r2gblh40&dl=0,spesification,,object-oriented,build program,,,build program,,,,,,
74,96-2,University of Birmingham,Computer Science,LI Building Useable Software,,,,,https://www.dropbox.com/scl/fi/eu19cv62lyny751bm8m6m/LI-Building-Useable-Software-1.pdf?rlkey=5rojejv996nxf8610fnsdrrd6&st=xan2gdoj&dl=0,,,user-centered software design,,,,,,,software life cycle,,,
75,96-2,University of Birmingham,Computer Science,LI Building Useable Software,,分析対象外,,被り,https://www.dropbox.com/scl/fi/mufn8wzxufkk25816xo5f/LI-Building-Useable-Software-2.pdf?rlkey=0b31r5fdmjqtals5w0wdfggx5&st=ea6ynanx&dl=0,,,,,,,,,,,,,
76,96-2,University of Birmingham,Computer Science,LI Software Workshop 1,,分析対象外,,被り,https://www.dropbox.com/scl/fi/pe4fl8g8ormlrxzc9tcx3/LI-Software-Workshop-3.pdf?rlkey=ndfi1vu4p2hcfi3hqlo3dbbry&st=5nj34uzb&dl=0,,,,,,,,,,,,,
77,96-2,University of Birmingham,Computer Science,LI Software Workshop 2,,分析対象外,,被り,https://www.dropbox.com/scl/fi/elqf9ac4r9xagq7i2u1ec/LI-Software-Workshop-4.pdf?rlkey=jiwg1ygsde3gvmpj8nlszmuu5&st=y25gat85&dl=0,,,,,,,,,,,,,
78,96-2,University of Birmingham,"Elec, Elec & Sys Engineering",LI Multidisciplinary Systems and Software Engineering,,分析対象外,,,https://www.dropbox.com/scl/fi/nuqj5zylls3t82m4ft6v2/LI-Multidisciplinary-Systems-and-Software-Engineering-1.pdf?rlkey=ldrpsd47to0hbf2w6ywdg3326&st=gv0k1n7h&dl=0,,,,,,,,,,,,,
79,96-2,University of Birmingham,"Elec, Elec & Sys Engineering",LI Multidisciplinary Systems and Software Engineering,,分析対象外,,被り,https://www.dropbox.com/scl/fi/7zeencn2xi1suc5xvf3dl/LI-Multidisciplinary-Systems-and-Software-Engineering-2.pdf?rlkey=dfqhiwosqh1p4vcpiivc2zk65&st=pwwi7nm7&dl=0,,,,,,,,,,,,,
80,96-2,University of Birmingham,Computer Science,LH Intelligent Software Engineering,,,,,https://www.dropbox.com/scl/fi/pfwcwgvvrva1cvtnmdim4/LH-Intelligent-Software-Engineering.pdf?rlkey=ly5fnaahinz6ijvfw62w08u6k&st=6p5qedv7&dl=0,,,,,,,,,,,,,AI-powered
81,24,University College London,"Faculty of Engineering Sciences, Computer Science",Software Development Practice ,,分析対象外,,Master向け,https://www.ucl.ac.uk/module-catalogue/modules/software-development-practice-COMP0104,,,,,,,,,,,,,
82,24,University College London,"Faculty of Engineering Sciences, Computer Science",Software Engineering,,,,,https://www.ucl.ac.uk/module-catalogue/modules/software-engineering-COMP0010,,Software Architecture,patterns of software design,,test-driven development,automated software testing,,,,,,"code quality,testing",
83,24,University College London,"Faculty of Engineering Sciences, Computer Science",Requirements Engineering and Software Architecture,,分析対象外,,Master向け,https://www.ucl.ac.uk/module-catalogue/modules/requirements-engineering-and-software-architecture-COMP0101,,,,,,,,,,,,,
84,24,University College London,"Faculty of Engineering Sciences, Computer Science",Responsible Software Engineering,,分析対象外,,Master向け,https://www.ucl.ac.uk/module-catalogue/modules/responsible-software-engineering--COMP0135,,,,,,,,,,,,,
85,24,University College London,"Faculty of Engineering Sciences, Computer Science",Research Methods in Software Engineering,,分析対象外,,Master向け,https://www.ucl.ac.uk/module-catalogue/modules/research-methods-in-software-engineering-COMP0108,,,,,,,,,,,,,
86,24,University College London,"Faculty of Engineering Sciences, Computer Science",Automated Software Engineering,,分析対象外,,Master向け,https://www.ucl.ac.uk/module-catalogue/modules/automated-software-engineering-COMP0237,,,,,,,,,,,,,
87,24,University College London,"Faculty of Engineering Sciences, Computer Science",Software Engineering,,分析対象外,,Master向け,https://www.ucl.ac.uk/module-catalogue/modules/software-engineering-COMP0071,,,,,,,,,,,,,
88,24,University College London,"Faculty of Engineering Sciences, UCL School of Management",Software Engineering,,分析対象外,,学科違い,https://www.ucl.ac.uk/module-catalogue/modules/software-engineering-MSIN0019,,,,,,,,,,,,,
89,24,University College London,"Faculty of Engineering Sciences, Computer Science",Research Software Engineering with Python,,分析対象外,,Master向け,https://www.ucl.ac.uk/module-catalogue/modules/research-software-engineering-with-python-COMP0233,,,,,,,,,,,,,
90,24,University College London,"Faculty of Engineering Sciences, Computer Science",Applied Software Engineering,,,,,https://www.ucl.ac.uk/module-catalogue/modules/applied-software-engineering-COMP0035,"modelling requirements, UML",,,the application could be developed,testing,DevOps,"select, install, configure",Refactoring,manage software development projects,software development processes,requirements gathering and modelling.,,
91,24,University College London,"Faculty of Engineering Sciences, Computer Science",Software Engineering and Product Management in Financial Technology,,分析対象外,,Master向け,https://www.ucl.ac.uk/module-catalogue/modules/software-engineering-and-product-management-in-financial-technology-COMP0201,,,,,,,,,,,,,
92,31,Virginia Tech,CS,Intro to Software Design,,,,14クラスある？シラバス内容は同じ？,"Fundamental concepts of programming from an object-oriented perspective. Basic software engineering principles and programming skills in a programming language that supports the object-oriented paradigm. Simple data types, control structures, array and string data structures, basic algorithms, testing and debugging. A basic model of the computer as an abstract machine. Modeling and problem-solving skills applicable to programming at this level. Partially duplicates 1054, 1124, and 1705.",,,,,,,,,,,data types,,
93,31,Virginia Tech,CS,Software Reverse Engineering,,,,説明のみ,"Theory and practice of software reverse engineering, static and dynamic analysis techniques and tools, reverse engineering of malware, obfuscated binaries, communications and command and control analysis, reverse engineering of non-binary software.",,,,,,,,,,,,,
94,31,Virginia Tech,CS,Mobile Software Development,,,,5クラスある？シラバス内容は同じ？,"Technologies and concepts underlying software development for mobile devices (handheld computers). Mobile computing platforms, including architecture, operating system, and programming environment. Software design patterns and structuring for mobile applications. Network-centric mobile software development. Data persistence. Programming for mobile device components such as cameras, recorders, accelerometer, gyroscope and antennas. Location-aware software development. A grade of C or better required in CS prerequisite.",,architecture,software design patterns and structuring for mobile applications,,,,,,, software development,,,
95,31,Virginia Tech,CS,AI Tools for Software Eng,,,,オンラインクラス,"Application of Artificial Intelligence and Machine Learning to the software development process. The course includes an introductory overview of relevant AI techniques, the use of large language models, and the construction of an AI assistant to help software engineers. Main emphasis is on exploring how developers can leverage generative AI to enhance the software development process, including generating code, reading, and analyzing code, and testing and documentation.",,,,"generating code,",testing,,,,,software development process,,,
96,31,Virginia Tech,CS,User Interface Software,,,,,"Survey of software architectures to build user interfaces, particularly focused on graphical user interfaces. Includes the design and implementation of user interfaces, the use of object-oriented application frameworks, software architecture for command undo, document management, layout managers, customized components, and separation of concerns in user interface software architectures. Discussion of research and advanced topics in User Interface Software.",,software architectures,design and implementation of user interfaces,UI,,,,,,,,,
97,33,TU Delft,"Electrical Engineering, Mathematics and Computer Science	",Software Fundamentals,,分析対象外,,修士,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=67958&_NotifyTextSearch_,,,,,,"build environment, integrate code contributions",Git to version ,,,,,,
98,33,TU Delft,"Electrical Engineering, Mathematics and Computer Science	",Software Systems,,分析対象外,,修士,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=67960&_NotifyTextSearch_,,,,,,,,,,,,,
99,33,TU Delft,"Electrical Engineering, Mathematics and Computer Science	",Software Architecture,,分析対象外,,修士,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=70106&_NotifyTextSearch_,,,,,,,,,,,,,
100,33,TU Delft,"Electrical Engineering, Mathematics and Computer Science",Formal Reasoning about Software,,分析対象外,,修士,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=70107&_NotifyTextSearch_,,,,,,,,,,,,,
101,33,TU Delft,"Electrical Engineering, Mathematics and Computer Science	",Machine Learning for Software Engineering,,分析対象外,,修士,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=70144&_NotifyTextSearch_,,,,,,,,,,,,,
102,33,TU Delft,"Electrical Engineering, Mathematics and Computer Science	",Sustainable Software Engineering,,分析対象外,,修士,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=70145&_NotifyTextSearch_,,,,,testing technique,,,,,,,,
103,33,TU Delft,"Electrical Engineering, Mathematics and Computer Science",Automated Software Testing and Reverse Engineering,,分析対象外,,修士,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=70420&_NotifyTextSearch_,,,,,,,,,,,,,
104,33,TU Delft,"Electrical Engineering, Mathematics and Computer Science",Collaborative Software Engineering Project,,,,,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=67561&_NotifyTextSearch_,,,,Gitlab,"testing, review",integrate testing in your process,Git to version,Write maintainable test code by avoiding well-known test code smells.,Manage a complex software project in a group,software engineering process,,,
105,33,TU Delft,"Electrical Engineering, Mathematics and Computer Science",Software Quality and Testing,,,,,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=67555&_NotifyTextSearch_,,,,,"property-based testing, test doubles and mock objects, design for testability, test-driven development, larger tests",,,,,test-driven development,,Software Quality,
106,33,TU Delft,"Electrical Engineering, Mathematics and Computer Science",Software Project,,,,,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=67567&_NotifyTextSearch_,requirements engineering,,,implementation,testing and validation, delivery of a working product,,,,software development,,,
107,33,TU Delft,"Electrical Engineering, Mathematics and Computer Science",Software Engineering Methods,,,,,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=67568&_NotifyTextSearch_,requirements engineering,software architecture,design patterns,,,,,,,software development,UML modeling,,
108,33,TU Delft,"Electrical Engineering, Mathematics and Computer Science",Embedded Software,,,,,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=67577&_NotifyTextSearch_,,,,,,,,,,,,,
109,33,TU Delft,"Electrical Engineering, Mathematics and Computer Science",Robot Software Practicals,,分析対象外,,修士,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=67514&_NotifyTextSearch_,,,,,,,,,,,,,
110,33,TU Delft,"Electrical Engineering, Mathematics and Computer Science",Software Engineering and Testing for AI Systems,,分析対象外,,修士,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=70218&_NotifyTextSearch_,,,,,,,,,,,,,
111,33,TU Delft,"Electrical Engineering, Mathematics and Computer Science",Software Engineering Methods,,分析対象外,,学び直し系？,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=68616&_NotifyTextSearch_,,,,,,,,,,,,,
112,33,TU Delft,"Electrical Engineering, Mathematics and Computer Science",Robot Software Practicals,,分析対象外,,修士,https://studiegids.tudelft.nl/a101_displayCourse.do?course_id=67514&_NotifyTextSearch_,,,,,,,,,,,,,
113,41,Iowa State University,Software engineering,Software Engineering Orientation,,,,,"Introduction to the procedures, policies, and resources of Iowa State University and the Software Engineering Program.",,,,,,,,,,,,,
114,41,Iowa State University,Software engineering,Careers in Software Engineering,,,,,"Overview of the nature and scope of the software engineering profession, relationship of coursework to careers, and program of study planning.",,,,,,,,,,,,,
115,41,Iowa State University,Software engineering,Software Project Management,,,,,"Process-based software development. Capability Maturity Model (CMM). Project planning, cost estimation, and scheduling. Project management tools. Factors influencing productivity and success. Productivity metrics. Analysis of options and risks. Version control and configuration management. Inspections and reviews. Managing the testing process. Software quality metrics. Modern software engineering techniques and practices",,,,,"testing, Inspections, reviews",,Version control and configuration management,,"Capability Maturity Model (CMM), cost estimation",,,Inspections and reviews. Managing the testing process. Software quality metrics.,
116,41,Iowa State University,Software engineering,Software Architecture and Design,,,,,"Modeling and design of software at the architectural level. Architectural styles. Basics of model-driven architecture. Object-oriented design and analysis. Iterative development and unified process. Design patterns. Design by contract. Component based design. Product families. Measurement theory and appropriate use of metrics in design. Designing for qualities such as performance, safety, security, reliability, reusability, etc. Analysis and evaluation of software architectures. Introduction to architecture definition languages. Basics of software evolution, reengineering, and reverse engineering. Case studies. Introduction to distributed system software.",,Architectural styles,Object-oriented design,,,,,,,,Modeling,,
117,41,Iowa State University,Software engineering,Software Development Practices,,,,,"Practical introduction to methods for managing software development. Software engineering concepts, practices and tools. Requirements analysis, structured and object-oriented design, coding, testing, and maintenance. Software process models, software tools and environments. Programming projects that provide exposure to information management techniques, client/server model, networking and communication.",,,,coding,,,,maintenance,,Software process models,,,
118,41,Iowa State University,Software engineering,Introduction to Software Testing,,,,,"Basic principles and techniques for software testing. Test requirements and management. Test design techniques, evaluation metrics, model-based testing, unit testing, system and integration testing. Software testing tools and programming projects.",,,,,"Test design techniques, evaluation metrics",,,,,,,,
119,41,Iowa State University,Software engineering,Software Architecture and Design,,分析対象外,,,"Modeling and design of software at the architectural level. Architectural styles. Basics of model-driven architecture. Object-oriented design and analysis. Iterative development and unified process. Design patterns. Design by contract. Component based design. Product families. Measurement theory and appropriate use of metrics in design. Designing for qualities such as performance, safety, security, reliability, reusability, etc. Analysis and evaluation of software architectures. Introduction to architecture definition languages. Basics of software evolution, reengineering, and reverse engineering. Case studies. Introduction to distributed system software.",,,,,,,,,,,,,
121,41,Iowa State University,Software engineering,Problem Solving in Software Engineering,,,,,"Introduction to software engineering and computer programming. Systematic thinking process for problem solving in the context of software engineering. Group problem solving. Solving software engineering problems and presenting solutions through computer programs, written documents and oral presentations. Introduction to principles of programming, software design, and extensive practice in design, writing, running, debugging, and reasoning about programs. Satisfactory placement scores can be found at: https://math.iastate.edu/academics/undergraduate/aleks/placement/. Graduation Restriction: Only one of ENGR 1600, ABE 1600, AERE 1600, BME 1600, CE 1600, CHE 1600, CPRE 1850, EE 1850, IE 1480, ME 1600, and SE 1850 may count towards graduation.",,,,,,,,,,,,,
122,41,Iowa State University,Software engineering,Software Testing,,,,,"An introduction to software testing principles and techniques. Test models, test design, test adequacy criteria; regression, integration, and system testing; and software testing tools.",,,,,"Test models, test design, test adequacy criteria, regression testing, integration testing, system testing; software testing tools.",,,,,,,,
123,41,Iowa State University,Software engineering,Introduction to Software Systems for Big Data Analytics,,,,,"Introduction to different perspectives of the “data universe” and trade-offs when choosing an appropriate perspective. Impact of the concept(s) of analytics – from raw data, through its storage/representation, to interacting and querying (linguistic/interface issues). Focused studies on 3-4 different domains, followed by generalization of the concepts/abstractions and preparing the students for the next course in this realm, targeting different domains/problems. Understanding the dependencies between problem-domain needs and the data properties, and their impact on choosing appropriate analytics tools (and how/why those tools were developed and exist in the manners that they do). In addition, the students will be exposed to (limited selection of) internals of such tools.",,,,,,,,,,,,,
124,41,Iowa State University,Software engineering,Software Analysis and Verification for Safety and Security,,,,,"Significance of software safety and security; various facets of security in cyber-physical and computer systems; threat modeling for software safety and security; and categorization of software vulnerabilities. Software analysis and verification: mathematical foundations, data structures and algorithms, program comprehension, analysis, and verification tools; automated vs. human-on-the-loop approach to analysis and verification; and practical considerations of efficiency, accuracy, robustness, and scalability of analysis and verification. Cases studies with application and systems software; evolving landscape of software security threats and mitigation techniques. Understanding large software, implementing software analysis and verification algorithms.",,,,,,,,program comprehension,,,,,
125,41,Iowa State University,Software engineering,Software Requirement Engineering,,,,,"The requirements engineering process including elicitation, requirements analysis fundamentals, requirements specification and communication, and requirements evaluation. Modeling of functional requirements and nonfunctional requirements, traceability, and requirements change management. Case studies and software projects.",The requirements engineering process,,,,,,,,,,,,
